0.0001875	7.92692	7.68802	7.83731	8.2604	8.18637	8.21673	8.4376	8.24854	8.34245
0.0003875	7.91487	7.66081	7.86672	8.24677	8.17636	8.26303	8.4668	8.29816	8.36613
0.000575	7.92037	7.71069	7.90977	8.26328	8.19377	8.31485	8.50222	8.31807	8.31731
0.0007625	7.9383	7.7352	7.8927	8.29128	8.20547	8.35539	8.40676	8.33422	8.40799
0.0009625	7.9842	7.8122	7.79649	8.25084	8.19841	8.39483	8.35325	8.37875	8.42919
0.00115	8.01035	7.87221	7.74677	8.17335	8.20767	8.40561	8.319	8.35153	8.39639
0.00135	8.02749	7.85244	7.72247	8.13539	8.25234	8.3967	8.32395	8.35492	8.35153
0.0015375	7.99737	7.87079	7.77212	8.13266	8.23518	8.41481	8.3363	8.3688	8.26206
0.0017375	7.98404	7.91253	7.78042	8.16733	8.2017	8.25669	8.28969	8.3368	8.18566
0.0019375	7.97332	7.87595	7.78271	8.18823	8.14616	8.24698	8.23287	8.37381	8.14337
0.0021375	7.99839	7.8644	7.77042	8.15059	8.15833	8.20163	8.30128	8.36762	8.08993
0.0023375	7.978	7.87008	7.7813	8.15249	8.13942	8.13545	8.25885	8.34356	8.10212
0.0025375	7.97648	7.84788	7.78297	8.14269	8.1002	8.14014	8.27726	8.32701	8.12433
0.0027375	8.00281	7.87688	7.79172	8.16089	8.14154	8.17457	8.26431	8.34445	8.1339
0.0029375	7.95657	7.91829	7.78603	8.12596	8.15031	8.17236	8.25874	8.33192	8.13827
0.0031375	7.94513	7.93133	7.77841	8.13914	8.14727	8.19311	8.28196	8.34854	8.19249
0.0033375	7.98016	7.84595	7.7808	8.16925	8.18034	8.1879	8.27534	8.35855	8.19384
0.0035375	7.98726	7.90266	7.76082	8.17013	8.13679	8.19312	8.24734	8.36041	8.20011
0.00375	8.01973	7.8725	7.76137	8.18439	8.20078	8.21153	8.24516	8.35065	8.20581
0.00395	8.00428	7.90686	7.7458	8.1296	8.22702	8.26172	8.27429	8.36599	8.2409
0.00415	8.01239	7.87252	7.73335	8.13762	8.15773	8.27432	8.31414	8.3896	8.22153
0.0043625	8.0121	7.85207	7.7306	8.17359	8.18281	8.26264	8.2768	8.38478	8.23721
0.0045625	7.97801	7.88195	7.7241	8.13555	8.16532	8.33016	8.3158	8.34246	8.22891
0.004775	7.97896	7.87605	7.74633	8.18161	8.15198	8.3434	8.29857	8.36628	8.24697
0.0049875	8.02062	7.88957	7.75394	8.16209	8.18206	8.32363	8.26035	8.34692	8.31899
0.0051875	8.01421	7.89204	7.75468	8.15144	8.22406	8.29653	8.3004	8.33362	8.26086
0.0054	7.98905	7.84638	7.71497	8.14316	8.20542	8.29161	8.27967	8.34535	8.27155
0.0056125	7.98344	7.86885	7.7418	8.15762	8.17407	8.29204	8.32392	8.35375	8.25583
0.005825	7.99077	7.8937	7.73859	8.13463	8.20289	8.27986	8.31157	8.35266	8.25642
0.0060375	7.97938	7.8966	7.76714	8.1822	8.16316	8.26122	8.3272	8.34788	8.22799
0.00625	8.0084	7.86947	7.77462	8.15371	8.19948	8.2544	8.27993	8.36733	8.24979
0.0064625	8.01443	7.86968	7.74819	8.10872	8.2166	8.28506	8.28128	8.33508	8.23278
0.006675	7.9663	7.83431	7.76827	8.15588	8.20463	8.28001	8.31027	8.37389	8.26404
0.0069	7.97709	7.84764	7.77957	8.18062	8.16289	8.25933	8.29832	8.32689	8.23545
0.0071125	7.97948	7.87356	7.75332	8.16625	8.13877	8.25679	8.26772	8.34027	8.2498
0.007325	7.95748	7.87015	7.76864	8.13472	8.17023	8.26751	8.26853	8.32649	8.28373
0.00755	7.9478	7.84474	7.7809	8.13634	8.16801	8.29681	8.25428	8.36443	8.21964
0.0077625	8.00552	7.84956	7.74164	8.15092	8.16199	8.26041	8.30781	8.33264	8.22983
0.0079875	7.97667	7.86163	7.75571	8.11438	8.18703	8.27138	8.29216	8.32878	8.25562
0.0082125	7.96765	7.85417	7.76526	8.13555	8.13796	8.25649	8.23692	8.34821	8.23496
0.008425	7.97075	7.85796	7.73196	8.16424	8.16407	8.28874	8.26182	8.34769	8.21929
0.00865	7.98296	7.85376	7.74346	8.15452	8.16812	8.24488	8.27039	8.37684	8.22005
0.008875	7.95689	7.8535	7.76556	8.12698	8.16488	8.21192	8.25638	8.33339	8.24457
0.0091	7.93087	7.85838	7.76047	8.15365	8.20943	8.25479	8.24857	8.35154	8.25618
0.009325	7.93871	7.8397	7.79022	8.14035	8.18927	8.28456	8.21828	8.36571	8.23908
0.00955	8.00387	7.87687	7.7936	8.15042	8.17394	8.24431	8.21295	8.33871	8.2226
0.009775	7.95446	7.84986	7.7744	8.1209	8.17659	8.24894	8.24127	8.30952	8.24111
0.01	7.93977	7.86275	7.74616	8.16038	8.18331	8.28276	8.28463	8.35348	8.22036
0.0102375	7.95261	7.85814	7.71776	8.15042	8.15219	8.23089	8.30221	8.34533	8.22298
0.0104625	7.97489	7.86641	7.75754	8.15824	8.16068	8.28894	8.30626	8.34582	8.21048
0.0107	7.97744	7.85594	7.74946	8.09117	8.16431	8.2605	8.27015	8.3387	8.22959
0.010925	7.94266	7.85913	7.74542	8.14264	8.13331	8.24225	8.23811	8.34435	8.25009
0.0111625	7.9568	7.86517	7.71549	8.12484	8.16121	8.29563	8.26552	8.34063	8.22354
0.0113875	7.96589	7.84402	7.72777	8.1232	8.14891	8.24358	8.28509	8.34976	8.20063
0.011625	7.94683	7.86342	7.71448	8.12245	8.1446	8.25334	8.24511	8.32353	8.25004
